x_west,flux_west,x_east,flux_east,x_west,Tw_west,x_west,Tf_west,x_east,Tf_east,x_east,Tw_east
12.3777712285,0.5414229177,63.266677427,0.214225301,15.34731216,619.8688469,27.36417192,392,50.6029887351,466.8144053512,25.6759101546,619.6946834589
12.4626644761,0.5608147164,63.1165249877,0.1993517826,15.63404851,620.0782852,27.65090827,392.6283148,51.1524834533,468.2754030584,26.2254048728,622.4763458056
12.5505936892,0.5813544044,62.7876852626,0.1688145351,15.92078486,620.0782852,27.93764462,394.8274168,51.7019781715,469.6856059718,26.774899591,619.8229652128
12.651558426,0.6011353006,62.5958115599,0.1864098899,16.20752121,617.905363,28.22438097,396.3982038,52.2514728897,470.7910401222,27.3243943092,611.7345416803
12.7525574952,0.6215342292,62.4929673229,0.2020560587,16.49425756,613.0359231,28.51111732,397.4453952,52.800967608,471.744089891,27.8239349621,600.5205119685
12.8535771639,0.6423039773,62.3935987768,0.2149628309,16.78099391,607.7737863,28.79785367,398.4925866,53.3504623262,472.6971396599,28.2235674844,588.2548829993
12.9545693667,0.6625792994,62.2772426648,0.2537358282,17.06773026,599.7627722,29.08459002,399.8015759,53.8999570444,473.7517790165,28.5447007613,575.7958591368
13.0757627566,0.6826788215,62.0899644379,0.2757168515,17.26323232,593.584343,29.37132637,400.7964077,54.4494517626,475.0603923422,28.7730622027,564.2900628961
13.1731637898,0.7025125541,61.93886801,0.2961730611,17.41963396,586.3849021,29.65806271,402.2624756,54.9989464808,476.5721848432,29.0727865944,550.920225776
13.2739843305,0.7196977138,61.78570527,0.3170185226,17.62816949,579.9054054,29.94479906,402.7860713,55.548441199,478.4903356948,29.3475339535,538.5101114663
13.3747774053,0.7363884476,61.6883008954,0.3356016405,17.77153766,572.8761332,30.23153541,402.8907905,56.0979359172,480.5608709279,29.59730428,526.4916648561
13.4862978853,0.7535740207,61.5416307275,0.3551754484,17.94215764,562.0638821,30.51827176,403.9118021,56.6474306354,482.4790217796,29.8470746064,514.0820983335
13.5680619794,0.7701404133,61.4259330526,0.3774652391,18.12344137,556.1472507,30.80500811,404.3830382,57.1969253536,484.4987622188,30.1842645471,499.7708892672
13.7023085497,0.7897989887,61.2769532783,0.3990994478,18.24508709,548.4678472,31.09174446,404.3830382,57.7464200718,486.264528689,30.4215463573,487.4733451844
13.8532132029,0.8097054199,61.1279458653,0.419873205,18.38411078,540.4524697,31.37848081,404.6971956,58.29591479,488.0302951591,30.7434725558,474.6772845061
14.0040766573,0.8288702121,60.9789147622,0.4399094323,18.51183879,533.3970177,31.66521716,406.3727019,58.8454095082,489.7452668354,31.1708573367,461.9409934752
14.1549195122,0.8476641849,60.8298560205,0.4590852082,18.67084713,526.1975769,31.95195351,406.5821401,59.3949042265,491.5110333056,31.65541177,464.0349640318
14.3306859766,0.8656865814,60.6594050277,0.4779448998,18.77511489,518.4221808,32.23868986,406.6868593,59.9443989447,493.0736206004,32.0200764466,476.1237464918
14.5064146753,0.8830291421,60.5067374787,0.4957158569,18.93151653,509.0629077,32.52542621,407.079556,60.4938936629,494.5854131014,32.2948238057,489.1643636295
14.7821244875,0.9024459688,60.3540078841,0.5115551883,19.0357843,501.8634669,32.81216256,407.6555113,61.0433883811,495.8940264271,32.5445941322,501.3953515927
15.2074830111,0.9191604754,60.133605765,0.5285605192,19.12701859,495.3839702,33.09889891,408.7027027,61.5928830993,497.1010501651,32.7943644586,514.2968308344
15.756997499,0.9236989452,59.9346270328,0.5468512592,19.23128635,488.4313673,33.38563526,409.4357367,62.1423778175,498.1048947279,33.0441347851,527.8688013547
16.2307271042,0.9122977122,59.6358123806,0.5634983613,19.40941045,480.6011184,33.67237161,410.5876472,62.6918725357,499.0071497029,33.2939051116,540.6026577767
